typecode,categorie
S330,helicoptere
S51,helicoptere
S52,helicoptere
S55P,helicoptere
S55T,helicoptere
S58P,helicoptere
S58T,helicoptere
S61,helicoptere
S61R,helicoptere
S62,helicoptere
S64,helicoptere
S65C,helicoptere
S76,helicoptere
S92,helicoptere
S97,helicoptere
SCOR,helicoptere
SCOU,helicoptere
SF34,avion_ligne
SF50,jet_affaire
SR20,petit_avion
SR22,petit_avion
SS2T,petit_avion
ST75,petit_avion
SU95,avion_ligne
SUCO,helicoptere
SURN,helicoptere
SW4,avion_ligne
SYCA,helicoptere
T206,petit_avion
T210,petit_avion
T34P,petit_avion
T38,jet_affaire
TBM7,petit_avion
TBM8,petit_avion
TBM9,petit_avion
TEX2,petit_avion
TIGR,helicoptere
UH1,helicoptere
UH12,helicoptere
UH1Y,helicoptere
V500,helicoptere
W3,helicoptere
WASP,helicoptere
WESX,helicoptere
WZ10,helicoptere
Y18T,petit_avion
ZA6,helicoptere
